UNDERLYING_LAST,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE
467.08,1/7/2022,0.15,0.1953,0.12122,0.06349,-0.24536,0.00185,0.09951,20656.0,0.26,469.0,0.004,1.92
467.08,1/7/2022,0.15,0.04636,0.04153,0.02246,-0.04506,0.00082,0.10301,7181.0,0.05,471.0,0.008,3.92
467.08,1/7/2022,0.15,0.10366,0.07691,0.04165,-0.11511,0.00164,0.1025,40544.0,0.11,470.0,0.006,2.92
466.5,1/7/2022,0.19,0.68689,0.11882,0.08328,-0.57003,0.00737,0.12901,8429.0,2.07,465.0,0.003,-1.5
466.5,1/7/2022,0.19,0.77908,0.09352,0.0695,-0.37467,0.0078,0.13831,1362.0,2.81,464.0,0.005,-2.5
466.5,1/7/2022,0.19,0.5629,0.13786,0.09187,-0.89062,0.00619,0.12255,13947.0,1.36,466.0,0.001,-0.5
466.5,1/7/2022,0.19,0.26993,0.13105,0.07756,-0.41547,0.00326,0.10837,17777.0,0.41,468.0,0.003,1.5
466.5,1/7/2022,0.19,0.41844,0.14727,0.09155,-0.80554,0.00467,0.11387,17039.0,0.8,467.0,0.001,0.5
476.94,1/7/2022,3.19,0.02768,0.01198,0.03196,-0.03389,0.00168,0.10652,923.0,0.05,487.0,0.021,10.06
476.94,1/7/2022,3.19,0.03988,0.01654,0.04313,-0.04772,0.00171,0.10599,856.0,0.08,486.0,0.019,9.06
476.94,1/7/2022,3.19,0.01832,0.0085,0.02298,-0.02294,0.00062,0.10745,914.0,0.04,488.0,0.023,11.06
468.75,1/7/2022,1.21,0.03394,0.01375,0.02612,-0.06975,0.00079,0.16251,1154.0,0.08,479.0,0.022,10.25
468.75,1/7/2022,1.21,0.02574,0.01052,0.02075,-0.05159,0.00075,0.16619,6393.0,0.04,480.0,0.024,11.25
466.5,1/7/2022,0.19,0.00456,0.00427,0.00381,-0.00549,-0.00022,0.14027,4004.0,0.01,475.0,0.018,8.5
466.5,1/7/2022,0.19,0.01243,0.00978,0.00823,-0.01519,3e-05,0.14371,2922.0,0.02,474.0,0.016,7.5
466.5,1/7/2022,0.19,0.00475,0.00359,0.00302,-0.00488,0.00039,0.15498,1571.0,0.01,476.0,0.02,9.5
466.5,1/7/2022,0.19,0.00371,0.00261,0.00243,-0.00513,0.00026,0.18264,169.0,0.01,478.0,0.025,11.5
466.5,1/7/2022,0.19,0.00404,0.00308,0.00259,-0.00512,0.00014,0.1692,1106.0,0.01,477.0,0.023,10.5
466.5,1/7/2022,0.19,0.08225,0.05961,0.03565,-0.09463,0.00108,0.10867,20621.0,0.1,470.0,0.008,3.5
466.5,1/7/2022,0.19,0.15151,0.09504,0.05476,-0.19534,0.00195,0.10614,13706.0,0.2,469.0,0.005,2.5
466.5,1/7/2022,0.19,0.04916,0.03696,0.02369,-0.05548,0.00057,0.11677,5443.0,0.06,471.0,0.01,4.5
466.5,1/7/2022,0.19,0.01454,0.01219,0.00887,-0.01531,0.00047,0.12679,3873.0,0.01,473.0,0.014,6.5
466.5,1/7/2022,0.19,0.03043,0.02346,0.01684,-0.03476,6e-05,0.1262,7514.0,0.03,472.0,0.012,5.5
465.29,1/7/2022,0.21,0.02697,0.01771,0.01444,-0.03528,0.00011,0.14739,6860.0,0.04,472.0,0.014,6.71
465.29,1/7/2022,0.21,0.04131,0.02693,0.02076,-0.05545,0.00063,0.14044,5102.0,0.07,471.0,0.012,5.71
465.29,1/7/2022,0.21,0.01838,0.01239,0.01127,-0.02514,0.00052,0.15715,3663.0,0.03,473.0,0.017,7.71
465.29,1/7/2022,0.21,0.00722,0.00527,0.00522,-0.00975,0.00048,0.16933,3726.0,0.01,475.0,0.021,9.71
465.29,1/7/2022,0.21,0.01152,0.00775,0.00659,-0.01486,-7e-05,0.16177,2695.0,0.01,474.0,0.019,8.71
465.29,1/7/2022,0.21,0.2865,0.10938,0.07986,-0.55458,0.00328,0.13187,12405.0,0.57,467.0,0.004,1.71
465.29,1/7/2022,0.21,0.40769,0.11956,0.09199,-0.94981,0.00515,0.13757,4825.0,0.96,466.0,0.002,0.71
465.29,1/7/2022,0.21,0.18636,0.08686,0.06317,-0.31553,0.00249,0.13141,15404.0,0.3,468.0,0.006,2.71
465.29,1/7/2022,0.21,0.06803,0.04138,0.03153,-0.09567,0.00089,0.13465,17511.0,0.09,470.0,0.01,4.71
465.29,1/7/2022,0.21,0.11102,0.06173,0.04505,-0.16493,0.00111,0.13041,12004.0,0.17,469.0,0.008,3.71
